L,J_over_U,tau,mean_diff,ci_lo,ci_hi
6,0.12,1.0,-0.0015583888529385325,-0.0018588984114501128,-0.0012896966144824258
6,0.12,2.0,-0.0022841915941546943,-0.0027917940611848395,-0.0017522962448996012
6,0.12,3.0,-0.0021309291048380906,-0.0029698412355040546,-0.0012622355010560764
6,0.2,1.0,0.0009763662894293534,0.0004734508784728286,0.0014490165460819735
6,0.2,2.0,0.005801007869162889,0.004591632874361402,0.006951532171033344
6,0.2,3.0,0.010571361270318937,0.008680439262672387,0.012439270728034855
6,0.3,1.0,0.013119782158452983,0.012139271005138704,0.01403476359243622
6,0.3,2.0,0.028984403733748398,0.026687708622707328,0.031070596088052634
6,0.3,3.0,0.03988011873445448,0.03646852679887612,0.04317383197265416
6,0.4,1.0,0.019236745916784724,0.017297888045804805,0.020982618698578086
6,0.4,2.0,0.040108187694967164,0.036498305167854406,0.04332024202660403
6,0.4,3.0,0.046687131472722,0.041693197816558496,0.0509904510127886
7,0.12,1.0,-0.002653549493137895,-0.003276658729893478,-0.002008740923754907
7,0.12,2.0,-0.005219603035923136,-0.006300715611132699,-0.004117175845318905
7,0.12,3.0,-0.005778383603247104,-0.007359797912769679,-0.004137100631639346
7,0.2,1.0,-0.002567569614376752,-0.003388892703815414,-0.0016594639108416548
7,0.2,2.0,0.0003046921745810988,-0.0011072770944284395,0.001620261785921571
7,0.2,3.0,0.003351344097015086,0.0010290095481111127,0.005848461721390572
7,0.3,1.0,0.013364143484445368,0.012490453300249638,0.014257986983903933
7,0.3,2.0,0.029961221960969703,0.027347846389957395,0.03260466023163862
7,0.3,3.0,0.045544987209013225,0.04133323503961468,0.0500405573738141
7,0.4,1.0,0.024530312188781343,0.02283465216751521,0.026324530857180437
7,0.4,2.0,0.04973646577762316,0.04588696635475272,0.053649968750425804
7,0.4,3.0,0.06750836908947962,0.0619163095746287,0.07272978107957091
