delta_early,G,density
-19,0.09725068306010931,0.5609151021997328
-72,0.24415650406504064,0.5100903667770673
-397,0.4989664396887159,0.2729128409502103
-74,0.18948863636363633,0.5257802946324533
-331,0.4608497191011236,0.2852494878438109
-256,0.2330602750809061,0.09548977644867344
-367,0.4515786082474227,0.369432883978964
-16,-0.048263888888888884,0.5680991769845227
-247,0.525454260651629,0.4264327004925488
-354,0.41551383399209485,0.2860080876230901
-329,0.4410202569169961,0.2350981890961621
-388,0.36556169429097607,0.32217242618658043
-83,0.23301940639269403,0.5336465951382006
-339,0.5297575536062378,0.2900833488191292
-196,0.3872916666666667,0.4307983806009372
-139,0.38919491525423733,0.4782780489777206
-40,0.05447635135135137,0.5475870963053218
-336,0.4111163227016885,0.3043826583987507
-336,0.46015471512770134,0.23517742943792763
-321,0.49358042635658916,0.27892979821549235
-9,0.09078322784810122,0.5527678695809524
-10,0.095679012345679,0.5597553281080749
-65,0.2015931372549019,0.49762755179233226
-374,0.5285904255319149,0.25702000311406764
-388,0.4722351301115242,0.3181033327891702
20,-0.09039351851851851,0.5783587132505902
-171,0.04400749063670417,0.044631646478103866
-391,0.5645700998185118,0.2968206855221272
-224,0.29453855140186913,0.09810479753498273
-266,0.48994330453563717,0.3964196743144614
-387,0.3791969147005445,0.2640876810436334
-83,0.2785749027237354,0.4996646847682231
-226,0.10551274451689396,0.060041077545465456
-409,0.5485197368421053,0.30438335009307216
-304,0.5255396586345381,0.20240127467014532
-188,0.179915010623672,0.07632781941276728
-363,0.45850459381044484,0.225130730911577
-360,0.45537475345167655,0.2781309473014805
-122,0.3332243723849372,0.5281041075189103
-386,0.3772576045627376,0.2912308447856741
-349,0.46536915204678364,0.321510705879225
-271,0.2923415492957746,0.10708912565399312
-314,0.4942729083665338,0.37084042320773536
-365,0.39662474332648867,0.24650681329744165
-301,0.4665273354564756,0.18170904169550245
-364,0.45907738095238093,0.31096962339551737
-72,0.4106359649122807,0.4760779927079591
-315,0.4132898351648352,0.151087819448772
-265,0.09201388888888884,0.08781849664344767
-352,0.32669865145228216,0.18963639340880942
-135,0.40922162576687116,0.4652447571286234
-152,0.012872774082814842,0.04498250093028897
-241,0.05113927291346654,0.07486556721487844
-93,0.23665048543689315,0.556441939510218
-78,0.2885071090047393,0.535251382854913
-236,0.4474774096385542,0.40464121395057917
-389,0.43664772727272727,0.2664236543264139
-377,0.4326550387596899,0.19914799544120637
-172,0.3661084254143646,0.43859394825638565
-337,0.531187749003984,0.23251518622150644
-307,0.5534142354124748,0.37925956197329624
-383,0.4937033582089553,0.275587256314313
-292,0.39750874125874125,0.1596522505844738
-1,0.11374562937062938,0.5793026525059166
-291,0.474390243902439,0.13573376395899667
-283,0.24275914634146345,0.09958769534528465
-288,0.4202860169491526,0.13801355686682806
-136,0.2318352473498233,0.5274326291549786
-254,0.48757267441860463,0.4039237078657505
-285,0.305463337182448,0.40472325599812614
