world_id,world_seed,density,B1_static_f0,B1_static_f1,B1_static_f2,B1_static_f3,B1_static_f4,B1_static_f5,B1_static_f6,B1_static_f7,B1_static_f8,B1_early_f0,B1_early_f1,B1_early_f2,B1_early_f3,B1_early_f4,B1_early_f5,B1_early_f6,B1_early_f7,B1_early_f8,B1_early_f9,B1_posttrans_f0,B1_posttrans_f1,B1_posttrans_f2,B1_posttrans_f3,B1_posttrans_f4,B1_posttrans_f5,B1_posttrans_f6,B1_posttrans_f7,B1_posttrans_f8,B1_posttrans_f9,B2_static_f0,B2_static_f1,B2_static_f2,B2_static_f3,B2_static_f4,B2_static_f5,B2_static_f6,B2_static_f7,B2_static_f8,B2_early_f0,B2_early_f1,B2_early_f2,B2_early_f3,B2_early_f4,B2_early_f5,B2_early_f6,B2_early_f7,B2_early_f8,B2_early_f9,B2_posttrans_f0,B2_posttrans_f1,B2_posttrans_f2,B2_posttrans_f3,B2_posttrans_f4,B2_posttrans_f5,B2_posttrans_f6,B2_posttrans_f7,B2_posttrans_f8,B2_posttrans_f9,B4_static_f0,B4_static_f1,B4_static_f2,B4_static_f3,B4_static_f4,B4_static_f5,B4_static_f6,B4_static_f7,B4_static_f8,B4_early_f0,B4_early_f1,B4_early_f2,B4_early_f3,B4_early_f4,B4_early_f5,B4_early_f6,B4_early_f7,B4_early_f8,B4_early_f9,B4_posttrans_f0,B4_posttrans_f1,B4_posttrans_f2,B4_posttrans_f3,B4_posttrans_f4,B4_posttrans_f5,B4_posttrans_f6,B4_posttrans_f7,B4_posttrans_f8,B4_posttrans_f9,B8_static_f0,B8_static_f1,B8_static_f2,B8_static_f3,B8_static_f4,B8_static_f5,B8_static_f6,B8_static_f7,B8_static_f8,B8_early_f0,B8_early_f1,B8_early_f2,B8_early_f3,B8_early_f4,B8_early_f5,B8_early_f6,B8_early_f7,B8_early_f8,B8_early_f9,B8_posttrans_f0,B8_posttrans_f1,B8_posttrans_f2,B8_posttrans_f3,B8_posttrans_f4,B8_posttrans_f5,B8_posttrans_f6,B8_posttrans_f7,B8_posttrans_f8,B8_posttrans_f9,B16_static_f0,B16_static_f1,B16_static_f2,B16_static_f3,B16_static_f4,B16_static_f5,B16_static_f6,B16_static_f7,B16_static_f8,B16_early_f0,B16_early_f1,B16_early_f2,B16_early_f3,B16_early_f4,B16_early_f5,B16_early_f6,B16_early_f7,B16_early_f8,B16_early_f9,B16_posttrans_f0,B16_posttrans_f1,B16_posttrans_f2,B16_posttrans_f3,B16_posttrans_f4,B16_posttrans_f5,B16_posttrans_f6,B16_posttrans_f7,B16_posttrans_f8,B16_posttrans_f9
0,2880948662283159285,0.2554602079472497,0.25274658203125,0.5013281815986477,0.2576672301376479,21.88421630859375,21.60296630859375,4141.0,0.2554602079472497,0.0,0.0,-1461.0,-12.422081447963802,155.91398782662188,828.3529411764706,2076.0,615.0,46.120000000000005,0.3680795847749273,10.806788698340409,0.2554602079472497,-27.0,-2.0311312217194635,36.283445260889984,589.6274509803922,615.0,588.0,0.92,0.9645203679356577,0.6085024209731529,0.2554602079472497,0.683349609375,0.0,0.6859592711682744,10.507568359375,11.288818359375,2799.0,0.2554602079472497,0.0,0.0,-1704.0,-24.17040723981902,47.0713670929579,1545.764705882353,2799.0,1095.0,44.16,0.04591265397533824,2.832680329871379,0.2554602079472497,-91.0,-3.350678733031688,19.74202623845891,1073.313725490196,1095.0,1004.0,-6.2,0.7917620137281653,1.147948816669909,0.2554602079472497,0.9912109375,0.0,0.9911330049261083,0.2646484375,0.3271484375,1015.0,0.2554602079472497,0.0,0.0,-475.0,-7.932217194570139,14.502758358326185,682.9019607843137,1015.0,540.0,10.600000000000001,0.14568345323714804,1.5937153655086567,0.2554602079472497,-66.0,-1.6745701357466107,9.205302819570901,508.94117647058823,540.0,474.0,-1.8400000000000003,0.6842105263125158,0.8685345681748105,0.2554602079472497,1.0,0.0,1.0,0.0,0.0,256.0,0.2554602079472497,0.0,0.0,-38.0,-0.8101357466063385,2.5263412279421007,236.84313725490196,256.0,218.0,0.15999999999999992,0.44117647058174736,0.3570949154971997,0.2554602079472497,-17.0,-0.25076923076922975,3.159810120877519,209.7450980392157,218.0,201.0,-0.36,0.7605633802709779,0.9606561101932276,0.2554602079472497,1.0,0.0,1.0,0.0,0.0,64.0,0.2554602079472497,0.0,0.0,0.0,-0.0048868778280544475,0.282842712474619,63.92156862745098,64.0,64.0,0.0,0.9999999995,1.9999999960000004e-09,0.2554602079472497,-1.0,-0.018823529411765065,0.5095095681142798,63.470588235294116,64.0,63.0,0.04,0.8571428570204082,1.9999999971715727,0.2554602079472497
1,2775892453734229578,0.28520399154224957,0.28076171875,0.46804347826086956,0.2757608695652174,22.68359375,32.51171875,4600.0,0.28520399154224957,0.0,0.0,-1440.0,-13.124434389140283,151.63324173808329,912.6470588235294,2153.0,713.0,44.56,0.384088964927124,3.9998330280172416,0.28520399154224957,-192.0,-3.709411764705876,32.79899998475564,602.843137254902,713.0,521.0,-4.24,0.7426273458435085,1.2149509412030963,0.28520399154224957,0.737060546875,0.0,0.7341835044716793,8.548583984375,15.204833984375,3019.0,0.28520399154224957,0.0,0.0,-1760.0,-27.661900452488727,43.77350797000396,1713.078431372549,3019.0,1259.0,41.199999999999996,0.04295812941813869,2.4525945964023035,0.28520399154224957,-371.0,-7.542081447963803,18.150581257910172,1052.7058823529412,1259.0,888.0,0.7599999999999998,0.34797891036845696,0.8345181883074841,0.28520399154224957,0.99609375,0.0,0.996078431372549,0.109375,0.109375,1020.0,0.28520399154224957,0.0,0.0,-445.0,-8.17402714932127,11.155716023635597,735.6862745098039,1020.0,575.0,6.5200000000000005,0.10821643286551459,0.6685447120507616,0.28520399154224957,-137.0,-2.8397285067873344,6.52015337242921,503.15686274509807,575.0,438.0,-0.43999999999999995,0.3657407407390475,0.5538864185502331,0.28520399154224957,1.0,0.0,1.0,0.0,0.0,256.0,0.28520399154224957,0.0,0.0,-41.0,-0.7772850678733021,2.3638104830971542,241.31372549019608,256.0,215.0,-0.52,0.3278688524536415,0.2895334047136078,0.28520399154224957,-23.0,-0.5573755656108603,3.3657688571855315,206.8235294117647,215.0,192.0,-0.27999999999999997,0.6973684210434556,0.511174564255529,0.28520399154224957,1.0,0.0,1.0,0.0,0.0,64.0,0.28520399154224957,0.0,0.0,-1.0,-0.017828054298642673,0.24413111231467402,63.80392156862745,64.0,63.0,-0.04,0.49999999975,4.131182218887912e-09,0.28520399154224957,1.0,0.0054298642533922754,0.24413111231467402,63.94117647058823,63.0,64.0,-0.04,1.9999999979999998,428478413.52506524,0.28520399154224957
2,618376021394830917,0.26126541504083806,0.26031494140625,0.48722157092614304,0.26787807737397423,23.35833740234375,24.21771240234375,4265.0,0.26126541504083806,0.0,0.0,-1397.0,-13.112398190045258,149.04635654721653,870.2549019607843,2078.0,681.0,46.6,0.36180904522596535,6.105470121584172,0.26126541504083806,-112.0,-3.0262443438914044,34.623437148844715,613.1176470588235,681.0,569.0,0.0,0.8433566433554639,1.8106899581857727,0.26126541504083806,0.702392578125,0.0,0.7066388599235315,13.825927734375,11.669677734375,2877.0,0.26126541504083806,0.0,0.0,-1643.0,-25.7321266968326,48.49206533031977,1639.8235294117646,2877.0,1234.0,47.480000000000004,0.08006718924967521,2.6221902430211332,0.26126541504083806,-251.0,-5.625339366515833,19.242130859133038,1097.235294117647,1234.0,983.0,2.3600000000000003,0.5135658914718729,0.9206164972656149,0.26126541504083806,0.994140625,0.0,0.9941060903732809,0.15234375,0.15234375,1018.0,0.26126541504083806,0.0,0.0,-431.0,-7.942352941176473,12.869949494850397,707.9803921568628,1018.0,587.0,11.4,0.14143426294792544,1.5286918853400489,0.26126541504083806,-104.0,-2.3998190045248893,7.914139245679216,523.843137254902,587.0,483.0,0.16000000000000014,0.522935779814115,1.168206267018345,0.26126541504083806,1.0,0.0,1.0,0.0,0.0,256.0,0.26126541504083806,0.0,0.0,-31.0,-0.7062443438914031,2.244014260204244,239.41176470588235,256.0,225.0,0.28,0.4833333333252778,0.6153189120763357,0.26126541504083806,-20.0,-0.41809954751131334,3.0463092423455636,214.11764705882354,225.0,205.0,-0.24,0.7014925373029628,1.1760856983869008,0.26126541504083806,1.0,0.0,1.0,0.0,0.0,64.0,0.26126541504083806,0.0,0.0,0.0,-4.115440223051387e-16,0.0,64.0,64.0,64.0,0.0,0.0,1.0,0.26126541504083806,0.0,-0.012036199095022663,0.2,63.86274509803921,64.0,64.0,0.0,0.9999999989999999,2.82842711674619e-09,0.26126541504083806
3,394275227860785560,0.22216736132752882,0.223876953125,0.552071973827699,0.22982551799345693,28.3037109375,21.4287109375,3668.0,0.22216736132752882,0.0,0.0,-1398.0,-10.832669683257919,157.86538062539236,807.5490196078431,2025.0,627.0,49.599999999999994,0.37281292059202653,6.402198092514925,0.22216736132752882,-184.0,-3.0877828054298693,35.6019325318163,542.9019607843137,627.0,443.0,-2.48,0.7775090689228809,0.7304500401814248,0.22216736132752882,0.63232421875,0.0,0.6320463320463321,15.5302734375,11.9677734375,2590.0,0.22216736132752882,0.0,0.0,-1430.0,-19.40914027149322,57.50930359515754,1479.549019607843,2590.0,1160.0,42.8,0.10175879396978532,4.289864811989253,0.22216736132752882,-366.0,-6.136470588235302,19.1702269157149,961.2745098039215,1160.0,794.0,-0.5599999999999996,0.34525939177040205,1.6133292173927307,0.22216736132752882,0.978515625,0.0,0.9785429141716567,0.90234375,0.52734375,1002.0,0.22216736132752882,0.0,0.0,-440.0,-6.829049773755661,17.052858997833766,671.7450980392157,1002.0,562.0,12.959999999999999,0.14728682170514093,2.9589552114176505,0.22216736132752882,-149.0,-2.5388235294117716,8.36538104332373,479.7843137254902,562.0,413.0,-1.1600000000000001,0.42692307692143494,0.9674672371843209,0.22216736132752882,1.0,0.0,1.0,0.0,0.0,256.0,0.22216736132752882,0.0,0.0,-42.0,-1.000000000000003,2.44425857879235,234.0392156862745,256.0,214.0,0.31999999999999995,0.37313432835263977,0.3954677327057722,0.22216736132752882,-28.0,-0.502895927601811,2.721470190907848,201.09803921568627,214.0,186.0,-0.24000000000000005,0.6111111111026234,1.4525076926292526,0.22216736132752882,1.0,0.0,1.0,0.0,0.0,64.0,0.22216736132752882,0.0,0.0,0.0,-4.115440223051387e-16,0.0,64.0,64.0,64.0,0.0,0.0,1.0,0.22216736132752882,-1.0,-0.017828054298643085,0.31559467676119,63.411764705882355,64.0,63.0,0.04,0.6666666664444444,0.5649326838814095,0.22216736132752882
4,4195175896102395489,0.2945404704776313,0.2969970703125,0.42704480065762435,0.30055487053020963,24.343505859375,27.109130859375,4866.0,0.2945404704776313,0.0,0.0,-1339.0,-13.116651583710414,128.09266801811884,924.1372549019608,2078.0,739.0,46.92,0.34746588693940184,8.407315583160587,0.2945404704776313,-167.0,-2.928597285067867,32.85276852869481,607.3725490196078,739.0,572.0,3.72,0.7683772538130813,1.4652445774818073,0.2945404704776313,0.760009765625,0.0,0.7576292964985545,8.042724609375,11.855224609375,3113.0,0.2945404704776313,0.0,0.0,-1826.0,-28.271583710407267,45.352062797628065,1750.313725490196,3113.0,1287.0,47.44,0.07073791348596908,2.0953739546987302,0.2945404704776313,-297.0,-6.184072398190054,16.58,1057.1960784313726,1287.0,990.0,11.0,0.4130434782600533,0.9222871594561434,0.2945404704776313,0.99609375,0.0,0.996078431372549,0.109375,0.171875,1020.0,0.2945404704776313,0.0,0.0,-414.0,-7.980814479638014,10.380828483314808,749.156862745098,1020.0,606.0,7.040000000000001,0.14107883817398117,0.9597181746631935,0.2945404704776313,-113.0,-2.315837104072405,8.5995581281831,519.1176470588235,606.0,493.0,3.0,0.5022026431695938,1.0064922292482252,0.2945404704776313,1.0,0.0,1.0,0.0,0.0,256.0,0.2945404704776313,0.0,0.0,-23.0,-0.6116742081447973,1.299384469662463,245.5686274509804,256.0,233.0,-0.36,0.3611111111010803,0.28165512449618835,0.2945404704776313,-20.0,-0.35447963800905447,2.4576411454889016,219.09803921568627,233.0,213.0,0.56,0.6610169491413387,0.9265990819337904,0.2945404704776313,1.0,0.0,1.0,0.0,0.0,64.0,0.2945404704776313,0.0,0.0,0.0,-4.115440223051387e-16,0.0,64.0,64.0,64.0,0.0,0.0,1.0,0.2945404704776313,0.0,-4.115440223051387e-16,0.0,64.0,64.0,64.0,0.0,0.0,1.0,0.2945404704776313
5,4523101828387747649,0.26625603478217147,0.27154541015625,0.47403910991233983,0.273544616767813,31.57415771484375,27.44915771484375,4449.0,0.26625603478217147,0.0,0.0,-1512.0,-14.179999999999993,152.50725359798466,858.7843137254902,2109.0,597.0,44.48,0.34715025906720764,11.145090098615936,0.26625603478217147,-64.0,-1.3342986425339385,39.713997532356274,578.3333333333334,597.0,533.0,0.56,0.9176319176307367,2.3635440860426487,0.26625603478217147,0.720703125,0.0,0.7217140921409214,18.015625,11.578125,2952.0,0.26625603478217147,0.0,0.0,-1914.0,-29.480542986425334,47.84142138356677,1591.5882352941176,2952.0,1038.0,46.239999999999995,0.04633781763824298,4.821270057224542,0.26625603478217147,-114.0,-2.5142081447963918,17.964453790750223,1018.7254901960785,1038.0,924.0,-1.44,0.7279236276832269,0.8826320450843722,0.26625603478217147,0.994140625,0.0,0.9941060903732809,0.15234375,0.15234375,1018.0,0.26625603478217147,0.0,0.0,-508.0,-9.097013574660643,10.783988130557267,701.5490196078431,1018.0,510.0,7.52,0.06099815157105176,1.7227763434906478,0.26625603478217147,-42.0,-0.8982805429864229,6.90321664153748,497.5686274509804,510.0,468.0,-0.07999999999999996,0.7407407407361684,1.1843144674333328,0.26625603478217147,1.0,0.0,1.0,0.0,0.0,256.0,0.26625603478217147,0.0,0.0,-44.0,-0.8085067873303174,1.8508376482014837,239.47058823529412,256.0,212.0,-0.5599999999999999,0.2666666666622222,0.9952782198281032,0.26625603478217147,-15.0,-0.3248868778280541,2.8861739379323623,206.0392156862745,212.0,197.0,-0.03999999999999998,0.7580645161168055,0.881785637169202,0.26625603478217147,1.0,0.0,1.0,0.0,0.0,64.0,0.26625603478217147,0.0,0.0,-1.0,-0.022352941176470485,0.13999999999999999,63.745098039215684,64.0,63.0,-0.04,0.0,4.131182218887912e-09,0.26625603478217147,0.0,-0.007873303167421214,0.34641016151377546,62.333333333333336,63.0,63.0,0.0,0.9999999996666666,1.7701224031320513,0.26625603478217147
6,2228025024239030675,0.33032750833910307,0.3377685546875,0.35074087459342246,0.34441633538127936,28.820068359375,29.632568359375,5534.0,0.33032750833910307,0.0,0.0,-1290.0,-14.207058823529415,94.54141949431478,923.1176470588235,1941.0,651.0,40.080000000000005,0.30383162439271244,4.697187102199666,0.33032750833910307,-77.0,-2.073755656108602,32.35874534032492,603.843137254902,651.0,574.0,0.1200000000000001,0.8933518005527793,1.190552140615948,0.33032750833910307,0.81005859375,0.0,0.8114828209764918,10.1318359375,15.5068359375,3318.0,0.33032750833910307,0.0,0.0,-2088.0,-32.05511312217197,52.11623931175388,1766.5294117647059,3318.0,1230.0,60.480000000000004,0.047879616963042465,2.9738526449455795,0.33032750833910307,-247.0,-4.140271493212659,16.948640063438717,1070.2941176470588,1230.0,983.0,2.52,0.46881720430006707,0.9474507666935701,0.33032750833910307,0.998046875,0.0,0.9980430528375733,0.05859375,0.05859375,1022.0,0.33032750833910307,0.0,0.0,-455.0,-8.714117647058833,11.361778029868388,743.3529411764706,1022.0,567.0,9.16,0.12667946257173382,0.7300396128425753,0.33032750833910307,-80.0,-1.7043438914027205,8.395236744726143,517.6862745098039,567.0,487.0,0.0,0.6208530805657779,1.109492478853131,0.33032750833910307,1.0,0.0,1.0,0.0,0.0,256.0,0.33032750833910307,0.0,0.0,-33.0,-0.6633484162895925,2.1964516839666657,244.0,256.0,223.0,-0.28,0.41071428570695157,0.21941361393950148,0.33032750833910307,-24.0,-0.7208144796380094,4.248482081873478,208.86274509803923,223.0,199.0,0.08000000000000002,0.7551020408086214,0.70035464439013,0.33032750833910307,1.0,0.0,1.0,0.0,0.0,64.0,0.33032750833910307,0.0,0.0,0.0,-4.115440223051387e-16,0.0,64.0,64.0,64.0,0.0,0.0,1.0,0.33032750833910307,0.0,-0.005158371040724665,0.4,63.84313725490196,64.0,64.0,0.0,0.9999999996666666,4.131182218887912e-09,0.33032750833910307
7,2728178377929367961,0.34522955123980864,0.34246826171875,0.3555515950810907,0.3422741044377116,27.38714599609375,29.32464599609375,5611.0,0.34522955123980864,0.0,0.0,-1406.0,-16.177737556561084,114.40692986003951,901.6862745098039,1995.0,589.0,33.440000000000005,0.29875311720683356,7.457555680394141,0.34522955123980864,-80.0,-0.25104072398190097,26.458269028793246,552.6862745098039,589.0,509.0,-0.5599999999999998,0.8650927487337857,1.4253687749108739,0.34522955123980864,0.818603515625,0.0,0.8212048911422607,8.831787109375,9.175537109375,3353.0,0.34522955123980864,0.0,0.0,-2252.0,-35.79891402714926,58.04031702187714,1717.0,3353.0,1101.0,50.480000000000004,0.025530073561217857,3.886454840796149,0.34522955123980864,-206.0,-1.3115837104072396,16.82930776948357,972.0784313725491,1101.0,895.0,0.16000000000000014,0.5381165919270446,0.8409384706574519,0.34522955123980864,0.9990234375,0.0,0.9990224828934506,0.0302734375,0.0302734375,1023.0,0.34522955123980864,0.0,0.0,-498.0,-10.13104072398191,8.813535045598899,729.0196078431372,1023.0,525.0,4.319999999999999,0.06037735849045212,1.0485069436324048,0.34522955123980864,-83.0,-0.7618099547511311,8.624639122885084,475.88235294117646,525.0,442.0,-0.6799999999999999,0.6175115207344816,0.6731477604897944,0.34522955123980864,1.0,0.0,1.0,0.0,0.0,256.0,0.34522955123980864,0.0,0.0,-38.0,-0.8932126696832606,2.2764885240211514,240.88235294117646,256.0,218.0,-0.7200000000000001,0.396825396819098,0.3286361957603175,0.34522955123980864,-19.0,-0.3784615384615381,3.065224298481271,204.98039215686273,218.0,199.0,0.28,0.7361111111008873,0.9653294268170093,0.34522955123980864,1.0,0.0,1.0,0.0,0.0,64.0,0.34522955123980864,0.0,0.0,0.0,-4.115440223051387e-16,0.0,64.0,64.0,64.0,0.0,0.0,1.0,0.34522955123980864,-1.0,-0.014117647058823455,0.31559467676119,63.470588235294116,64.0,63.0,0.04,0.6666666664444444,1.0,0.34522955123980864
8,3944273178297391044,0.3212438070321448,0.3218994140625,0.384907091391733,0.32631778536215394,26.974365234375,35.630615234375,5274.0,0.3212438070321448,0.0,0.0,-1318.0,-13.378280542986428,120.82495768672959,948.0784313725491,2030.0,712.0,40.08,0.38180112570338565,5.373442069613971,0.3212438070321448,-135.0,-1.2304977375565587,37.55382803390355,649.6666666666666,712.0,577.0,1.1599999999999997,0.85049833886949,0.8318466926507174,0.3212438070321448,0.79443359375,0.0,0.7937922556853104,7.7568359375,10.7880859375,3254.0,0.3212438070321448,0.0,0.0,-1945.0,-30.30217194570137,50.71853704514751,1813.450980392157,3254.0,1309.0,53.39999999999999,0.043285784554823764,3.097531120817708,0.3212438070321448,-280.0,-2.236832579185519,18.723247581549522,1168.078431372549,1309.0,1029.0,4.08,0.4666666666657778,1.2552858417319885,0.3212438070321448,0.998046875,0.0,0.9980430528375733,0.05859375,0.05859375,1022.0,0.3212438070321448,0.0,0.0,-412.0,-8.200361990950226,8.467726967728705,761.1764705882352,1022.0,610.0,6.800000000000001,0.0782997762861783,0.9820036299326226,0.3212438070321448,-104.0,-0.9728506787330394,6.953675287213231,562.6666666666666,610.0,506.0,0.47999999999999976,0.4639175257708046,1.1693796760233717,0.3212438070321448,1.0,0.0,1.0,0.0,0.0,256.0,0.3212438070321448,0.0,0.0,-21.0,-0.5376470588235275,1.970685160039523,245.41176470588235,256.0,235.0,-0.03999999999999998,0.5624999999882813,0.39791121309696253,0.3212438070321448,-21.0,-0.3697737556561071,2.3502340308999017,223.80392156862746,235.0,214.0,0.12,0.6499999999891667,0.9594661847250646,0.3212438070321448,1.0,0.0,1.0,0.0,0.0,64.0,0.3212438070321448,0.0,0.0,0.0,-4.115440223051387e-16,0.0,64.0,64.0,64.0,0.0,0.0,1.0,0.3212438070321448,-2.0,-0.05303167420814496,0.34409301068170506,62.745098039215684,64.0,62.0,0.08,0.499999999875,242061460.13796353,0.3212438070321448
9,837963467558380258,0.3019302918636276,0.2979736328125,0.42400655469070053,0.3022326915198689,25.636474609375,27.355224609375,4882.0,0.3019302918636276,0.0,0.0,-1424.0,-14.54769230769232,128.50731341056039,895.2549019607843,2070.0,646.0,43.440000000000005,0.3043478260868078,7.332946643627239,0.3019302918636276,-179.0,-3.4361990950226264,26.64739386881952,537.3725490196078,646.0,467.0,0.52,0.7122186495165399,1.3822379200727046,0.3019302918636276,0.75048828125,0.0,0.7490240728692258,14.6552734375,9.5302734375,3074.0,0.3019302918636276,0.0,0.0,-1962.0,-31.312398190045236,43.283973939554116,1680.8823529411766,3074.0,1112.0,46.72,0.022421524663665957,4.143829965735827,0.3019302918636276,-240.0,-5.724886877828051,17.380448785920343,954.6666666666666,1112.0,872.0,4.4,0.513184584177458,1.0891887991070939,0.3019302918636276,0.994140625,0.0,0.9941060903732809,0.15234375,0.15234375,1018.0,0.3019302918636276,0.0,0.0,-471.0,-9.05656108597285,10.351985316836574,725.7843137254902,1018.0,547.0,8.04,0.10964083175782677,0.8509568404103056,0.3019302918636276,-120.0,-2.525882352941179,8.459314393022641,474.5098039215686,547.0,427.0,1.5200000000000002,0.49999999999791667,0.9034613007530745,0.3019302918636276,1.0,0.0,1.0,0.0,0.0,256.0,0.3019302918636276,0.0,0.0,-31.0,-0.7435294117647065,1.8535371590556255,242.54901960784315,256.0,225.0,-0.28,0.4038461538383876,0.5170248568368508,0.3019302918636276,-41.0,-0.8564705882352963,3.0244999586708543,201.3921568627451,225.0,184.0,0.12,0.5176470588174394,1.0932552179658046,0.3019302918636276,1.0,0.0,1.0,0.0,0.0,64.0,0.3019302918636276,0.0,0.0,0.0,-4.115440223051387e-16,0.0,64.0,64.0,64.0,0.0,0.0,1.0,0.3019302918636276,-2.0,-0.038371040723982446,0.5276362383309168,63.09803921568628,64.0,62.0,0.0,0.74999999990625,0.30618621872551,0.3019302918636276
