world_id,world_seed,density,iso_embedded_50,iso_alone_50,fine_net_50_250,G_0_250,comp0,comp50,blk8_0,blk8_50
0,3463654368348045212,0.4463050469068928,64,3,-29,0.4393221574344023,343,157,64,57
1,2330969361771277654,0.5255351947388471,38,4,-62,0.26875000000000004,215,105,64,40
2,2124757994731625358,0.16453401769190878,62,6,-44,0.44756944444444446,450,159,64,50
3,247080924537440671,0.4147917307616867,38,11,-81,0.28216019417475724,412,145,64,52
4,3272393637541433779,0.14295253479316938,42,5,-30,0.3868925644028103,427,125,64,47
5,2898830132610843341,0.4879299351485022,35,7,-38,0.3628472222222222,306,123,64,54
6,402886477179035602,0.18353306771881744,46,3,-39,0.41080339321357284,501,115,64,44
7,4071574786169903120,0.4206171058530164,61,9,-75,0.4440011820330969,423,178,64,56
8,3411898257071016714,0.11279225136731268,34,2,-18,0.21156163911845727,363,83,64,33
9,882057252630444287,0.4634701545347469,59,6,-48,0.31164148351648346,364,145,64,57
10,195330876027284443,0.12642452075301677,34,4,-24,0.3130195012787724,391,91,64,34
11,1311669376471901371,0.29959833595839414,62,14,-87,0.5726750927643784,539,191,64,53
12,2436795100438037711,0.27765224142262246,48,8,-33,0.46592003853564545,519,148,64,55
13,1284151890667727644,0.302538511080367,59,6,-84,0.5613425925925926,540,169,64,59
14,4604331202816762964,0.36608457291933727,40,6,-56,0.3980816160520607,461,139,64,56
15,1275356129140675556,0.4325725164004891,62,13,-92,0.3552837743732591,359,172,64,53
16,3547874524135403556,0.49998105130685133,44,7,-25,0.24546755725190839,262,149,64,52
17,2725751456351394314,0.5143850664315897,94,8,-102,0.17812499999999998,240,213,64,60
18,4467175404393949414,0.48919824990502964,59,11,-54,0.2453409090909091,275,167,64,59
19,3119286220791685349,0.44645389592787854,55,4,-69,0.324260752688172,372,146,64,53
20,277198874117422169,0.156309940374765,47,3,-45,0.43184691011235954,445,124,64,55
21,3624494569213939351,0.327834028536486,56,3,-30,0.5207644139886578,529,143,64,50
