target,window,B,R2,positive
Nlive,static,1,0.013106141452634334,False
Nlive,static,2,0.009935474436039149,False
Nlive,static,4,0.013828691251138836,False
Nlive,static,8,0.021324150667817343,False
Nlive,static,16,0.021324150667817343,False
Nlive,early,1,0.013041226419539309,False
Nlive,early,2,0.00901225181251697,False
Nlive,early,4,0.008951482310106895,False
Nlive,early,8,0.016816795503830417,False
Nlive,early,16,0.008139964088191176,False
Nocc8,static,1,-0.005182476845841499,False
Nocc8,static,2,-0.00501445688595803,False
Nocc8,static,4,0.003594797386608062,False
Nocc8,static,8,0.011019560659265903,False
Nocc8,static,16,0.011019560659265903,False
Nocc8,early,1,0.00531482311012732,False
Nocc8,early,2,-0.005512791169752784,False
Nocc8,early,4,-0.01088642095158776,False
Nocc8,early,8,0.030177165244336446,False
Nocc8,early,16,-0.007421968710645599,False
